ResId,ChapterId,BookId,Link,Valid,JWLINK
191598,115820,24848,499179508,yes,
250936,153646,28834,552758592,yes,
271706,165905,30157,568755200,yes,
173734,104599,25532,489729973,yes,
202677,121949,25530,507889806,yes,
326968,194729,32067,615988545,yes,
204174,122520,26686,509639417,yes,
384383,213840,34135,651525886,yes,
262146,159788,28837,560699437,yes,
243642,146402,26903,545864924,yes,
174641,104995,25702,490683672,yes,
273787,168464,27185,570144375,yes,
210588,124092,26900,516683176,yes,
264703,162589,31300,563263456,yes,
266381,162836,30151,565596782,yes,
190155,115267,26298,497575970,yes,
250130,133503,28837,549539947,yes,
389478,219177,34343,654010996,yes,
344308,202951,31722,619844998,yes,
222864,130420,28838,533867312,yes,https://content.jwplatform.com/videos/CtvGyRJA-9YBrBxKD.m4a
184227,106997,24845,494572156,yes,
275806,168731,28838,572471433,yes,
226804,131239,28838,536682113,yes,
304591,181446,30153,592531772,yes,
266393,162754,31322,564982931,yes,
261026,159254,27185,559278708,yes,
261488,160784,27181,559846360,yes,
276608,169569,31048,573989340,yes,
210664,123558,26893,523647914,yes,
198178,120041,26340,503445663,yes,
382160,216338,34229,597677848,yes,
186534,113164,25526,495992341,yes,
214832,126070,27181,521746604,yes,
351354,205813,33683,597601396,yes,
245372,146253,26902,546804445,yes,
266618,162171,27181,565510989,yes,
276313,168730,27181,573316877,yes,
257339,157600,26902,556081552,yes,
201586,120349,26339,505993413,yes,
308952,178953,32067,593732899,yes,
280119,170921,31726,577112761,yes,
175671,104996,25529,491495775,yes,
275995,168931,31301,573031819,yes,
205531,122591,26740,511502921,yes,
344340,202475,32263,634915997,yes,
262335,161326,29055,560769330,yes,
216658,125850,26902,524119444,yes,
349685,205200,32797,636991307,yes,https://content.jwplatform.com/videos/QTdl2nvM-9YBrBxKD.m4a
282266,172128,31748,578383766,yes,
216669,126838,27184,524115991,yes,
195824,118790,26298,501683442,yes,
192374,115938,26338,499934961,yes,
264094,162268,30156,562804194,yes,
277263,169629,28838,575227366,yes,
275939,168730,27181,572922338,yes,https://content.jwplatform.com/videos/c3o403kb-9YBrBxKD.m4a
219546,126920,27639,525329613,yes,
360759,209359,33497,640612029,yes,
246902,149653,30152,547934537,yes,
305230,179259,32298,592162302,yes,
276369,168927,30154,573285414,yes,
159062,98005,24345,475066077,yes,
209635,124073,26740,536643745,yes,
247870,151184,29599,548386850,yes,
192349,115933,26337,499920147,yes,
259344,157421,27184,558408509,yes,
230400,134275,29055,538595472,yes,
221060,127471,26922,529670709,yes,
382333,216365,34227,629769338,yes,
250113,150857,30153,549845476,yes,
218333,127728,27942,529338200,yes,
230927,136476,28838,539032680,yes,
204923,122783,25530,510605766,yes,
216666,126369,26337,524101902,yes,
350065,199412,32667,636919176,yes,
254458,156631,29055,552793434,yes,
193723,116979,26342,500857895,yes,
235797,141202,27639,541479189,yes,
262737,161174,27181,561224040,yes,
354763,207295,33499,639100270,yes,
230937,136477,26902,539031842,yes,
110077,61250,22198,440565228,yes,
276902,169662,31301,574421925,yes,
271709,165694,31048,568909693,yes,
264250,161311,30152,562717024,yes,
270656,165681,30154,567334280,yes,
239907,143926,27181,543920571,yes,
197519,120067,25532,502937713,yes,
173037,104297,24846,488806695,yes,
257907,158490,26899,557030440,yes,
232014,137906,27639,539475960,yes,
174557,104981,25532,490634564,yes,
201912,119789,26338,506406763,yes,
371724,212266,32667,646394779,yes,
325255,193804,32067,612612340,yes,
258546,157425,30157,557449574,yes,
201667,121752,26686,505994392,yes,
239896,143921,26899,543893860,yes,
261013,160587,26899,559279708,yes,
278553,169531,30151,575790152,yes,
250238,144638,27184,549556764,yes,
172356,103198,25527,488067760,yes,
265040,161311,30152,564018590,yes,
369759,211391,32663,645104456,yes,
236649,141201,26899,541956969,yes,
230414,136477,26902,538563382,yes,
229668,131192,28839,538003860,yes,
264664,162568,28839,563222171,yes,
210639,124101,25527,516996167,yes,
263820,161444,28837,562066650,yes,
217874,125850,26902,525968363,yes,
110072,61249,22198,438802467,yes,
367135,179259,32298,643932022,yes,
284044,171187,31817,580174986,yes,
218321,127728,27942,529342103,yes,
283485,171185,31816,579707639,yes,
217391,126074,26899,525332932,yes,
280279,169461,31322,577163968,yes,
190499,114641,25530,497864914,yes,
305366,181280,32273,592771354,yes,
270594,166257,27185,567322279,yes,
386963,214895,34174,652806814,yes,
227608,133504,27639,537101592,yes,
191312,115820,24848,498642355,yes,
262359,160763,28834,560786377,yes,
225896,132013,26900,536183771,yes,
384375,216987,33469,651499600,yes,
230408,134214,27182,538577750,yes,
220082,128564,26903,528724613,yes,
172847,104193,25530,488401304,yes,
218112,127582,26899,526437366,yes,
268835,162171,27181,565977289,yes,
187870,113931,25532,496795025,yes,
305068,180249,31879,592673240,yes,
192372,116015,25530,499903889,yes,
246156,149862,26903,547390588,yes,
204676,122583,25526,510199354,yes,
223845,128446,26902,534299421,yes,
263367,161179,27185,561643558,yes,
265356,162832,27182,564063121,yes,
373728,213492,33493,647575398,yes,
367001,205050,33621,644234513,yes,
261750,160614,28839,560286092,yes,
345278,203552,33499,635308211,yes,
180070,108840,24848,493727574,yes,
261020,159787,30157,559298153,yes,
184700,107460,24850,494760335,yes,
110073,61249,22198,439166487,yes,
202911,121686,26337,508800797,yes,
277938,169662,31301,575218920,yes,
384084,214895,34174,651416758,yes,
283525,171310,31048,579856371,yes,
366658,206007,32884,643509709,yes,
233931,137521,27184,540592716,yes,
257619,157425,30157,556483461,yes,
209832,123558,26893,515671104,yes,
302365,181307,31880,592099831,yes,
216370,126369,26337,523622646,yes,
222844,128560,27181,533377351,yes,
209793,123796,26339,515765461,yes,
188335,113130,25531,496879466,yes,
259991,159789,30153,558841929,yes,
356310,202690,32067,639523321,yes,
246130,149191,26900,547345690,yes,
196415,119249,25532,502069680,yes,
366119,207870,33508,643814311,yes,
217875,126838,27184,525979101,yes,
219393,127986,27967,527719434,yes,
185898,112683,25530,495396919,yes,
367837,211587,33493,644397278,yes,
363446,207872,33495,643366447,yes,
265066,162568,28839,563558243,yes,
270881,166422,27185,567746149,yes,
246143,146253,26902,547374224,yes,
387828,216021,32885,653169146,yes,
388112,218747,32741,608777594,yes,
369719,212262,33493,645240330,yes,
220625,128704,27184,529191603,yes,
352712,203552,33499,638523504,yes,
273261,166828,28834,569771573,yes,
204212,122544,26340,509183763,yes,
189978,114755,26340,497602101,yes,
210589,122851,26899,516528648,yes,
217436,126771,26922,525462325,yes,
276830,168927,30154,574285805,yes,
200575,119826,25527,504796777,yes,
218317,127728,27942,529341250,yes,
225413,130411,28833,535163584,yes,
274811,168786,31300,571689716,yes,
214155,125861,26686,521228475,yes,
241016,143921,26899,544847960,yes,
186531,113163,25529,495724254,yes,
169992,102776,24845,486676214,yes,
269056,162587,31301,566091293,yes,
226466,132853,26903,536658838,yes,
209374,124055,26922,514296964,yes,
255016,151184,29599,553321344,yes,
209436,122591,26740,514595105,yes,
367173,211392,33493,643957677,yes,
200353,120349,26339,504682287,yes,
387829,217050,32882,653165135,yes,
382732,215116,32884,650590247,yes,
266657,162587,31301,565592918,yes,
212749,125118,26337,519361049,yes,
206198,122891,25530,512433979,yes,
204800,122278,26339,510531750,yes,
344683,203137,31814,634932941,yes,
257338,157597,28839,556065821,yes,
270687,165691,31301,567467818,yes,
258567,158547,26902,557478171,yes,
258569,158496,28837,557425259,yes,
368723,211823,32433,645139986,yes,
264183,161680,28838,564070254,yes,
245749,148538,29055,546824623,yes,
208877,123796,26339,514304038,yes,
227604,130706,26899,537089591,yes,
281345,170481,27181,577926333,yes,
384372,216405,32886,651558806,yes,
173497,104602,25531,489285758,yes,
189345,114616,25532,497217310,yes,
351363,205814,33683,602348337,yes,
259247,159254,27185,558366834,yes,
316200,185811,32067,599512275,yes,
270688,165694,31048,567491888,yes,
284379,172930,31815,580584159,yes,
266621,163204,28837,565449682,yes,
258001,158479,28839,557065620,yes,
275830,168927,30154,572409745,yes,
276589,168927,30154,573830323,yes,
258885,158496,28837,557894564,yes,
205489,122764,26337,511450784,yes,
161223,97771,24848,475854995,yes,
332005,195160,32067,622391737,yes,
191574,115593,26339,499077890,yes,
186968,111813,25527,496020468,yes,
178648,104805,24850,492780975,yes,
264657,161399,28833,563103505,yes,
265903,163079,27182,564533811,yes,
218352,127582,26899,527102210,yes,
254462,155487,27182,552774665,yes,
205525,122867,26740,511187840,yes,
387820,217046,32663,653115921,yes,
252786,154414,28839,552271859,yes,
265370,162836,30151,564118148,yes,
277288,169461,31322,575359482,yes,
362820,209359,33497,641396182,yes,
255572,157009,29055,554590572,yes,
216804,126900,26337,525349657,yes,
202528,121860,25526,507485943,yes,
270535,163388,30152,567469244,yes,
208114,123081,25527,513365539,yes,
189376,114761,24848,497244850,yes,
231495,135340,26337,539477578,yes,
224486,131281,27926,534715434,yes,
190817,115593,26339,498229822,yes,
175411,104805,24850,491106746,yes,
278843,170482,28838,576119795,yes,
222717,129492,26337,533390643,yes,
276364,169461,31322,573370064,yes,
274122,165694,31048,570641870,yes,
382156,216338,34229,597070630,yes,
301080,178937,32263,591376987,yes,
210012,124095,26819,516188356,yes,
217826,127437,26819,525983712,yes,
344659,203132,33496,635268543,yes,
176843,104805,24850,492409180,yes,
226397,132440,27181,536205756,yes,
191868,115981,25529,499567184,yes,
270291,162589,31300,567075970,yes,
218332,127728,27942,529337935,yes,
305198,178469,31726,592650393,yes,
261017,160590,26900,559307663,yes,
337123,198592,27185,620730914,yes,
383304,216638,32664,650977713,yes,
159347,97015,24846,475353026,yes,
302377,178937,32263,591948805,yes,
205962,122764,26337,511869136,yes,
234755,136476,28838,540963493,yes,
244240,146267,26899,546308851,yes,
201941,121783,25529,506440611,yes,
250931,153641,30153,551305587,yes,
261036,158799,28834,559298681,yes,
184215,107460,24850,494612745,yes,
258915,157428,27185,558447020,yes,
215817,126116,27183,522677095,yes,
337573,195160,32067,625405282,yes,
227493,132013,26900,537109398,yes,
181775,108820,25526,495431149,yes,
192355,115670,24845,499878075,yes,
222342,130151,27926,533059257,yes,
352037,199116,33378,637436452,yes,
387448,218593,34135,652852610,yes,
320768,192266,32268,605432344,yes,
226335,130413,28834,536178928,yes,
280628,170481,27181,577498143,yes,
317065,190364,32274,600852965,yes,
218249,126549,27181,527664100,yes,
319636,191629,32799,593290365,yes,
265004,162754,31322,563668166,yes,
176199,104417,24845,492043029,yes,
357947,208582,33497,639838431,yes,
352661,205732,33497,638103326,yes,
379961,216022,33782,650245421,yes,
218358,127733,26339,527128523,yes,
226799,128446,26902,536655524,yes,
265709,162979,30153,564462071,yes,
261739,160763,28834,560336639,yes,
377536,214895,34174,649060215,yes,
282982,172128,31748,579274701,yes,
187313,103088,22472,496039759,yes,
217395,125850,26902,525367943,yes,
190008,113930,25529,497595426,yes,
275035,166485,30152,572453578,yes,
209790,122853,26902,516094788,yes,
251858,151184,29599,551915382,yes,
173888,104732,25526,489790010,yes,
178023,104732,25526,493311010,yes,
192350,116012,25527,500015168,yes,
110960,61773,22199,441538863,yes,
255056,153643,30151,553301302,yes,
276759,168730,27181,574428912,yes,
379365,215836,33493,649976669,yes,
207698,122851,26899,512804938,yes,
184706,108707,24846,494736260,yes,
221239,129434,27926,531172757,yes,
210089,123558,26893,516190823,yes,
222372,129562,27184,533401811,yes,
265959,162587,31301,564633992,yes,
258925,158580,28838,557935421,yes,
263075,161444,28837,561643662,yes,
302328,181446,30153,591992699,yes,
350139,203883,33497,637349095,yes,
205351,122852,26903,510991305,yes,
165095,101295,24845,482636728,yes,
330717,195160,32067,619885164,yes,
273799,167651,30154,570141970,yes,
177861,106107,24846,492733355,yes,
208429,123545,25530,513787360,yes,
211582,124910,26922,517497180,yes,
233789,136477,26902,540535643,yes,
226290,130706,26899,536165874,yes,
271704,166422,27185,568725566,yes,
305214,182434,32275,592650552,yes,
205066,122814,26893,510226215,yes,
269031,162754,31322,566090011,yes,
269708,165694,31048,566582467,yes,
278629,170255,31748,575690899,yes,
386694,216768,33465,652477878,yes,
110959,61771,22199,441244846,yes,
204308,122112,25530,509720897,yes,
218359,126768,26900,527120430,yes,
158174,96225,24845,473852836,yes,
218286,127722,24453,526925772,yes,
202667,121914,26339,507812535,yes,
274125,167699,31322,570629894,yes,
249336,151074,30154,549144184,yes,
187910,113387,26298,496363087,yes,
218342,127728,27942,529340947,yes,
283492,171137,26899,579682302,yes,
211558,124118,26337,517439231,yes,
277927,169531,30151,575337814,yes,
218337,127728,27942,529339631,yes,
202927,121860,25526,508377545,yes,
178022,104986,25531,492734559,yes,
346131,203887,33126,636173193,yes,
198330,120347,26342,503732137,yes,
379256,213916,33465,649893195,yes,
167337,102713,24848,490697475,yes,
363536,209610,32433,643419818,yes,
198771,119826,25527,504355497,yes,
208518,123081,25527,513823319,yes,
379954,215599,32665,650238687,yes,
227626,134214,27182,537141753,yes,
361726,175189,32035,596999469,yes,
378649,215615,33782,649372651,yes,
387459,216021,32885,652866155,yes,
257887,158480,27182,556521170,yes,
271111,165691,31301,568421698,yes,
172093,103196,25526,487552401,yes,
344279,202948,32942,635014660,yes,
226179,133021,27926,536167025,yes,
259986,159254,27185,558841109,yes,
185167,112260,25424,495396700,yes,
230391,133507,28834,538595849,yes,
255072,153646,28834,553230172,yes,
270782,166356,28837,567752113,yes,
157263,96089,24847,473442520,yes,
257976,157528,28834,557112647,yes,
224351,130785,27184,534299423,yes,
216490,126776,27183,523653847,yes,
